id,lot,wafer,die,x,y,lum,std,path,h
1287,OSD190234,6,OSD190234-Brutes-06-14,6,14,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-14.bmp,+ht0mS6GADZRmYWMW0XVS47F440GCRAZFxJB60R3A818CLVm4iGF0G+KUQI3W5ZQNx8SzuCeucQfUKg/cu9R/w==
1288,OSD190234,6,OSD190234-Brutes-06-15,6,15,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-15.bmp,Ay/V86nwAeyvu3CxKEwZ8v7ZokojMBGYDTOSZ87tZSaszciKhR7KfGm/II2jxXC7pqWYZEu+a4z+hKnd61m/bQ==
1289,OSD190234,6,OSD190234-Brutes-06-16,6,16,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-16.bmp,aXY1cgn0+8w3L+uiSWQGyvA5zQhfm+/hy3xZQnlxJs2J2/oNoSUWu7Ctaovt5zFSj+hkg6G1RLnmAOddbthyGg==
1290,OSD190234,6,OSD190234-Brutes-06-17,6,17,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-17.bmp,Gygu+w83u3+zqRYiuR+w9XJRfsH5KBMnauEZlBECVFXv0hgPv7WpJ8ZBqbgA3JTD6sW9Bkfmb1BlTPASVe8OmA==
1291,OSD190234,6,OSD190234-Brutes-06-18,6,18,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-18.bmp,iuVuLsgybSH3tzl9eWiaLcXlPvVaTzUr2l8ZHSIEz4BJ2j9M8NEytGG4kJZv85+0+geu/wCIQ6PLgq5gRPYDfQ==
1292,OSD190234,6,OSD190234-Brutes-06-19,6,19,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-19.bmp,EwiwthYyZQ59drYSXre43QN1/YjTzHlLmNJdl4HucEnedMgSi9t8kQmufNwBzuylmKx+vYM72Bx8gt9rHvtMcQ==
1293,OSD190234,6,OSD190234-Brutes-06-20,6,20,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-20.bmp,He0JCkggQsaVEb90p7OKdesNwT0+eSqkK0r2SYFGPGo0iopmokcsSdPJkVUHrHpxLQPYT31IKWQDUqKt/emGpA==
1294,OSD190234,6,OSD190234-Brutes-06-21,6,21,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-21.bmp,Mq7E3Oto25e0kjaB7BOfHf6Ikrgeg+eD/bsVZSII41rYlh/b+Vr99TnhG4uK/1Vxj2E55IY/soEQ1q28NhnstQ==
1295,OSD190234,6,OSD190234-Brutes-06-22,6,22,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-22.bmp,mUehA40fF0DWXKwJYXoF9nMTeV6VGSPO1B3CTOt53YWGUVg/fc+hGTdBIFCJcsTz3XdUBJE+FRjCkCbgh6x+MA==
1296,OSD190234,6,OSD190234-Brutes-06-23,6,23,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-23.bmp,CJfFWDI218qDC6ZHZvq6FYMciPLUNNTgd/eKGS9lHItoIG9Q/tfK+A2nIr3HzznxEPfAIFNDheQHK+iQtL+p5A==
1297,OSD190234,6,OSD190234-Brutes-06-24,6,24,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-24.bmp,zEAx4yw7lIKGhsbVQ9YkKfhq5uXsgHY/atNTjWYilQr6hPWU3o+Y8p46N+78YFfBj5IOv+vvGmbOHrvZyG3zyA==
1298,OSD190234,6,OSD190234-Brutes-06-25,6,25,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-25.bmp,oAxcqjcdYxMlOSotzcsYhKYJtAJC4eZs29O2zH4jftp795F3Va6eRCPgPTx6E6A/MnbPzucRkXbh9rNRFVaCLQ==
1299,OSD190234,6,OSD190234-Brutes-06-26,6,26,-1,-1,img/01-originals/OSD190234/06/OSD190234-Brutes-06-26.bmp,i/yNjwz67uLHm9Aw7DgiGqPyIQiA5WNN8CZnUyoZkn5+rhtnXgYqo8SJ+yNH8W4Nyld3h87+IN/PPeJX+mW1ew==
1300,OSD190234,7,OSD190234-Brutes-07-01,7,1,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-01.bmp,jOOR+nPVgdzyb1BKW+KsKcfyxn8d4IPDOUxv2NOWm0/XPfx8uiAtSDvgdqNZaZ/M9LmbC/pAQJ3QQpV6G8LfYA==
1301,OSD190234,7,OSD190234-Brutes-07-02,7,2,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-02.bmp,G8omIw6aMB+jcLuJqg/drOGRl3E38+7PyX0P6pLht44sDeP4imIM4FDf/c0tV/W/IYB/ikBKDDjCM7RfRxazug==
1302,OSD190234,7,OSD190234-Brutes-07-03,7,3,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-03.bmp,1qDBsf9ureHFcCaxtbDWB0/6p1eKkxOdp0DHXbcPYK6ACXev5EgSWgCf120TIVml2ZpAMIeY0ETEPkXa4Y0IQg==
1303,OSD190234,7,OSD190234-Brutes-07-04,7,4,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-04.bmp,URxJC+g8KVRcZDK51gvSxshoRcSDK7Eco4pRK8dEYZyM1tEF5GgqtZ9NDnqGitUyC2MqjBmpQq36DJdJs6K0sA==
1304,OSD190234,7,OSD190234-Brutes-07-05,7,5,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-05.bmp,wYZRZQdBCt4UYYNCstwrlzhHMvrDCJurBFX/BLqPHbzqqH2XGpSoFp0auqvWmudXFHNCPD0VKVyziW1IrkUNUQ==
1305,OSD190234,7,OSD190234-Brutes-07-06,7,6,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-06.bmp,LzidqPh4lnvpqwxmx6dlzIS5dQ487cu41WajDBQgin4Pr0ZPTeos0m9Ej+AiV5qwERoguZQMOvJ2N3klztn5AQ==
1306,OSD190234,7,OSD190234-Brutes-07-07,7,7,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-07.bmp,L+a4KNvUEtYuuCo25flGfHI0gXoq9ZxIwWUie/xSKZHZHQyakmUQq7+B7Siko68S1U1cvH2tLTYtSOnb6jTbVQ==
1307,OSD190234,7,OSD190234-Brutes-07-08,7,8,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-08.bmp,pMIdYEaIRBbu1e7b3yNV9H4Pqe/b21bfl27nrnRt+eiXA6TwcrOBlE0LYq/z9vpSSS+ZJNpcIIYkspPa2wY7SQ==
1308,OSD190234,7,OSD190234-Brutes-07-09,7,9,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-09.bmp,5eZETnswFpvbs1cGNgSQzQ6LlRzvdRzF0ZG0XNt145UX7kuMixw1hDSqfUXbKNBWOauXAPw6mUSiaYH1g4FhEg==
1309,OSD190234,7,OSD190234-Brutes-07-10,7,10,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-10.bmp,v1tKRvlkLD3lRKxopwdFIpsv3XOFbtlKiYOu1UCDQ5eGA8JRkILlBFPlRcrFYwfoX+utRBTETXuzzwQflLsrnw==
1310,OSD190234,7,OSD190234-Brutes-07-11,7,11,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-11.bmp,WoFmi1wQi04E9tUSSyv6ck/yt+Cb45shEYpWVNHLot3GXF6Mpo7Qh4A1M/iC8Gh4RwILqtmrja9khsO1vInmtQ==
1311,OSD190234,7,OSD190234-Brutes-07-12,7,12,-1,-1,img/01-originals/OSD190234/07/OSD190234-Brutes-07-12.bmp,zn2gYiNOCrEkHmK2Ka/hz7Kd8xnl4Fq7t5bbLrAHRxxzXc9iE/gzKjf9Gys6UIT0AeFoPpi3lKBvwfk+XybMdQ==
